slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,grouping
601,-33.83244705200195,-34.00000000000165,0.16755294799969533,0.02807399038338861,4.821455622293863e-05,0.02932596206665039,5
602,-33.828102111816406,-34.00000000000165,0.1718978881852422,0.029548883962546034,4.821455622293863e-05,0.026294946670532227,5
603,-33.803062438964844,-34.00000000000165,0.1969375610368047,0.03878440294712518,4.821455622293863e-05,0.027433395385742188,5
604,-33.76607131958008,-34.00000000000165,0.23392868042157033,0.054722627523777184,4.821455622293863e-05,0.02153491973876953,5
605,-33.62839889526367,-33.500000000001656,0.1283988952620163,0.016486276304506234,4.821455622293863e-05,0.027409076690673828,5
606,-33.49211120605469,-33.500000000001656,0.007888793946968065,6.223306993771997e-05,4.821455622293863e-05,0.0300600528717041,5
607,-33.29566192626953,-33.500000000001656,0.20433807373212431,0.041754048376555074,4.821455622293863e-05,0.03456568717956543,5
608,-33.02479553222656,-33.00000000000166,0.02479553222489983,0.0006148184183160459,4.821455622293863e-05,0.02885293960571289,5
609,-32.754791259765625,-33.00000000000166,0.24520874023603767,0.0601273262881446,4.821455622293863e-05,0.05427694320678711,5
610,-32.71572494506836,-33.00000000000166,0.2842750549333033,0.08081230685733261,4.821455622293863e-05,0.025137901306152344,5
611,-32.783233642578125,-33.00000000000166,0.21676635742353767,0.04698765371066888,4.821455622293863e-05,0.025278091430664062,5
612,-32.96621322631836,-33.00000000000166,0.033786773683303295,0.001141546075926756,4.821455622293863e-05,0.026361942291259766,5
613,-33.144474029541016,-33.00000000000166,0.14447402953935295,0.02087274521133783,4.821455622293863e-05,0.021629810333251953,5
614,-33.18771743774414,-33.00000000000166,0.18771743774247795,0.03523783643260109,4.821455622293863e-05,0.026594877243041992,5
615,-33.19840621948242,-33.500000000001656,0.3015937805192337,0.0909588084478837,4.821455622293863e-05,0.020824193954467773,5
616,-33.18552780151367,-33.500000000001656,0.3144721984879837,0.09889276362186582,4.821455622293863e-05,0.06894612312316895,5
617,-33.17842483520508,-33.500000000001656,0.32157516479657744,0.10341058661394593,4.821455622293863e-05,0.03073596954345703,5
618,-33.19035720825195,-33.500000000001656,0.30964279174970244,0.09587865848254959,4.821455622293863e-05,0.027452945709228516,5
619,-33.11806106567383,-33.500000000001656,0.38193893432782744,0.1458773495554765,4.821455622293863e-05,0.0255889892578125,5
620,-33.0485725402832,-33.500000000001656,0.45142745971845244,0.203786751387855,4.821455622293863e-05,0.02520918846130371,5
621,-33.07496643066406,-33.500000000001656,0.42503356933759306,0.18065353506385454,4.821455622293863e-05,0.02264690399169922,5
622,-33.20304870605469,-33.500000000001656,0.29695129394696806,0.08818007097677863,4.821455622293863e-05,0.02143383026123047,5
623,-33.21200942993164,-33.500000000001656,0.28799057007001494,0.08293856844925218,4.821455622293863e-05,0.02620387077331543,5
624,-33.36354446411133,-33.500000000001656,0.13645553589032744,0.01862011327511644,4.821455622293863e-05,0.02306199073791504,5
625,-33.383392333984375,-33.500000000001656,0.11660766601728056,0.013597347773997648,4.821455622293863e-05,0.02622818946838379,5
626,-33.379638671875,-33.500000000001656,0.12036132812665556,0.014486849308412448,4.821455622293863e-05,0.037686824798583984,5
627,-33.280601501464844,-33.00000000000166,0.2806015014631811,0.07873720262339161,4.821455622293863e-05,0.03158283233642578,5
628,-33.15593338012695,-33.00000000000166,0.15593338012529045,0.024315219037298327,4.821455622293863e-05,0.02991509437561035,5
629,-33.038055419921875,-33.00000000000166,0.03805541992021233,0.0014482149853036934,4.821455622293863e-05,0.03435015678405762,5
630,-32.88349533081055,-33.00000000000166,0.1165046691911158,0.013573337943331326,4.821455622293863e-05,0.02360987663269043,5
631,-32.64877700805664,-32.50000000000167,0.14877700805497085,0.02213459812578886,4.821455622293863e-05,0.029541730880737305,5
632,-32.59196853637695,-32.50000000000167,0.09196853637528335,0.008458211683011817,4.821455622293863e-05,0.024228811264038086,5
633,-32.70503234863281,-33.00000000000166,0.29496765136885017,0.08700591535405554,4.821455622293863e-05,0.03122401237487793,5
634,-32.80094528198242,-33.00000000000166,0.1990547180192408,0.03962278076571946,4.821455622293863e-05,0.02665090560913086,5
635,-33.049293518066406,-33.500000000001656,0.4507064819352493,0.2031363328584492,4.821455622293863e-05,0.04319596290588379,5
636,-33.41628646850586,-33.500000000001656,0.08371353149579619,0.0070079553554976606,4.821455622293863e-05,0.08719420433044434,5
637,-33.5578498840332,-33.500000000001656,0.05784988403154756,0.0033466090824635013,4.821455622293863e-05,0.02508997917175293,5
638,-33.63277816772461,-33.500000000001656,0.1327781677229538,0.017630041823864854,4.821455622293863e-05,0.03073287010192871,5
639,-33.58033752441406,-33.500000000001656,0.08033752441240694,0.0064541178287140805,4.821455622293863e-05,0.04385185241699219,5
640,-33.465667724609375,-33.500000000001656,0.034332275392280565,0.0011787051336113936,4.821455622293863e-05,0.06091499328613281,5
641,-33.20718002319336,-33.00000000000166,0.2071800231916967,0.04292356200971199,4.821455622293863e-05,0.029464244842529297,5
642,-33.058921813964844,-33.00000000000166,0.05892181396318108,0.0034717801607117207,4.821455622293863e-05,0.026473045349121094,5
643,-33.0344123840332,-33.00000000000166,0.034412384031540455,0.0011842121747342204,4.821455622293863e-05,0.02628183364868164,5
644,-33.02973937988281,-33.00000000000166,0.02973937988114983,0.0008844307157153393,4.821455622293863e-05,0.02552485466003418,5
645,-32.9895133972168,-33.00000000000166,0.010486602784865795,0.00010996883796755505,4.821455622293863e-05,0.02505970001220703,5
646,-33.01348876953125,-33.00000000000166,0.01348876952958733,0.0001819469034223236,4.821455622293863e-05,0.026113033294677734,5
647,-32.963096618652344,-33.00000000000166,0.03690338134931892,0.0013618595550132595,4.821455622293863e-05,0.027356863021850586,5
648,-32.867820739746094,-33.00000000000166,0.13217926025556892,0.01747135684170942,4.821455622293863e-05,0.044992923736572266,5
649,-32.85126876831055,-33.00000000000166,0.1487312316911158,0.02212097928035637,4.821455622293863e-05,0.023211956024169922,5
650,-32.91818618774414,-33.00000000000166,0.08181381225752205,0.006693499876109064,4.821455622293863e-05,0.031973838806152344,5
651,-32.90182113647461,-33.00000000000166,0.0981788635270533,0.009639089243463756,4.821455622293863e-05,0.03447699546813965,5
652,-32.84870529174805,-33.00000000000166,0.1512947082536158,0.02289008874554672,4.821455622293863e-05,0.029309988021850586,5
653,-32.69036865234375,-32.50000000000167,0.19036865234208022,0.036240223794539804,4.821455622293863e-05,0.02979898452758789,5
654,-32.657203674316406,-32.50000000000167,0.15720367431473647,0.024712995218053736,4.821455622293863e-05,0.025410890579223633,5
655,-32.62971878051758,-32.50000000000167,0.12971878051590835,0.016826962018534404,4.821455622293863e-05,0.027719974517822266,5
656,-32.691932678222656,-32.50000000000167,0.19193267822098647,0.03683815296908074,4.821455622293863e-05,0.026386260986328125,5
657,-32.91853713989258,-33.00000000000166,0.08146286010908455,0.006636197577152278,4.821455622293863e-05,0.022953033447265625,5
658,-33.13325500488281,-33.00000000000166,0.13325500488114983,0.017756896325875265,4.821455622293863e-05,0.02554178237915039,5
659,-33.19866943359375,-33.00000000000166,0.19866943359208733,0.039469543843800796,4.821455622293863e-05,0.02431201934814453,5
660,-33.20366287231445,-33.500000000001656,0.29633712768720244,0.08781569324590133,4.821455622293863e-05,0.0254361629486084,5
661,-33.247684478759766,-33.500000000001656,0.25231552124188994,0.0636631222595666,4.821455622293863e-05,0.024044036865234375,5
662,-33.30632781982422,-33.500000000001656,0.19367218017743681,0.03750891337468155,4.821455622293863e-05,0.02267599105834961,5
663,-33.406578063964844,-33.500000000001656,0.09342193603681181,0.008727658132866158,4.821455622293863e-05,0.02731800079345703,5
664,-33.503273010253906,-33.500000000001656,0.0032730102522506854,1.0712596111338095e-05,4.821455622293863e-05,0.029480934143066406,5
665,-33.6157112121582,-33.500000000001656,0.11571121215654756,0.01338908461873756,4.821455622293863e-05,0.02514791488647461,5
666,-33.66724395751953,-33.500000000001656,0.16724395751787569,0.027970541326241008,4.821455622293863e-05,0.027111053466796875,5
667,-33.648773193359375,-33.500000000001656,0.14877319335771944,0.022133463061853376,4.821455622293863e-05,0.026474952697753906,5
668,-33.55451202392578,-33.500000000001656,0.054512023924125685,0.002971560752304451,4.821455622293863e-05,0.03184986114501953,5
669,-33.41075134277344,-33.500000000001656,0.08924865722821806,0.00796532281703996,4.821455622293863e-05,0.02576589584350586,5
670,-33.1412467956543,-33.00000000000166,0.1412467956526342,0.019950657282137005,4.821455622293863e-05,0.02408599853515625,5
671,-32.8174934387207,-33.00000000000166,0.18250656128095955,0.03330864491060064,4.821455622293863e-05,0.0274050235748291,5
672,-32.59656524658203,-32.50000000000167,0.09656524658036147,0.009324846847126013,4.821455622293863e-05,0.023749828338623047,5
673,-32.44814682006836,-32.50000000000167,0.0518531799333104,0.0026887522691962642,4.821455622293863e-05,0.024306297302246094,5
674,-32.3848876953125,-32.50000000000167,0.11511230468916978,0.013250842690852258,4.821455622293863e-05,0.024737119674682617,5
675,-32.565101623535156,-33.00000000000166,0.4348983764665064,0.18913659785320314,4.821455622293863e-05,0.022850990295410156,5
676,-32.71690368652344,-33.00000000000166,0.28309631347822517,0.08014352270496153,4.821455622293863e-05,0.028262853622436523,5
677,-32.74446487426758,-33.00000000000166,0.25553512573408455,0.0652982004839344,4.821455622293863e-05,0.05834388732910156,5
678,-32.69780349731445,-33.00000000000166,0.30219650268720955,0.09132272623638064,4.821455622293863e-05,0.02409195899963379,5
679,-32.746253967285156,-33.00000000000166,0.2537460327165064,0.06438704911936635,4.821455622293863e-05,0.021893739700317383,5
680,-23.463319778442383,-24.000000000001766,0.5366802215593829,0.2880256602130283,4.821455622293863e-05,0.026514768600463867,5
681,-23.608945846557617,-24.000000000001766,0.3910541534441485,0.15292335092591966,4.821455622293863e-05,0.024799108505249023,5
682,-23.7363224029541,-24.000000000001766,0.26367759704766414,0.06952587518483033,4.821455622293863e-05,0.025876998901367188,5
683,-23.816322326660156,-24.50000000000176,0.6836776733416023,0.46741516102578673,4.821455622293863e-05,0.0410466194152832,5
684,-23.977643966674805,-24.50000000000176,0.5223560333269539,0.27285582555306975,4.821455622293863e-05,0.04314994812011719,5
685,-24.069570541381836,-24.50000000000176,0.43042945861992266,0.1852695188478397,4.821455622293863e-05,0.02324390411376953,5
686,-24.165145874023438,-24.50000000000176,0.3348541259783211,0.11212728568470533,4.821455622293863e-05,0.030050039291381836,5
687,-24.164430618286133,-24.50000000000176,0.3355693817156258,0.11260680994500737,4.821455622293863e-05,0.021244049072265625,5
688,-24.20832633972168,-24.50000000000176,0.2916736602800789,0.08507352410117888,4.821455622293863e-05,0.027946949005126953,5
689,-24.096343994140625,-24.50000000000176,0.4036560058611336,0.1629381710677635,4.821455622293863e-05,0.021398067474365234,5
690,-24.149829864501953,-24.50000000000176,0.35017013549980547,0.12261912379595212,4.821455622293863e-05,0.02538585662841797,5
691,-24.102731704711914,-24.50000000000176,0.39726829528984453,0.15782209844249911,4.821455622293863e-05,0.02715611457824707,5
692,-23.927270889282227,-24.50000000000176,0.572729110719532,0.328018634265586,4.821455622293863e-05,0.02598881721496582,5
693,-24.008398056030273,-24.50000000000176,0.49160194397148516,0.24167247131654324,4.821455622293863e-05,0.0262451171875,5
694,-23.921363830566406,-24.000000000001766,0.07863616943535945,0.006183647143466559,4.821455622293863e-05,0.0689690113067627,5
695,-23.827064514160156,-24.000000000001766,0.17293548584160945,0.0299066822632735,4.821455622293863e-05,0.030971050262451172,5
696,-32.30337142944336,-32.00000000000168,0.3033714294416825,0.09203422420148974,4.821455622293863e-05,0.032903194427490234,5
